姓名,性别,年龄(事发时),出生地/相关机构,国家,职业,年份,犯罪类型,事件描述,法律状态,结果
Guilherme de Pádua,男,24,巴西圣保罗,巴西,演员/电视剧演员,1992,谋杀罪(二级),1992年12月28日，与妻子Paula Nogueira Thomaz共谋杀害女演员Daniella Perez(其电视剧搭档)。因嫉妒戏份被削减，用刀刺杀Daniella Perez 18次，伤及颈部、肺部和心脏致死。,已定罪服刑并释放,2006年被判19年监禁，实际服刑6年后于1999年释放。2016年民事赔偿案判决赔偿44万美元。此案推动巴西1994年通过8930法案修改刑法。
Bruno Fernandes (Goleiro Bruno),男,25,巴西里约热内卢,巴西,职业足球守门员(Flamengo俱乐部),2010,谋杀罪+绑架罪+藏尸罪,2010年6月谋杀前女友、模特Eliza Samudio。证人证实Eliza被勒死后肢解，尸体被埋在混凝土下。动机为逃避抚养责任(Eliza怀有其子)。,已定罪服刑,2013年被判22年监禁(后改为15年)。2017年曾短暂假释引发公众愤怒，赞助商抵制。2024年仍在服刑。
Robinho (Robson de Souza),男,29,巴西圣保罗Santos,巴西,职业足球运动员(AC米兰/前皇马/曼城),2013,集体强奸罪,2013年在意大利米兰一家夜店参与集体强奸一名女性。意大利法院2017年定罪，2022年意大利最高法院维持原判。巴西宪法拒绝引渡本国公民。,已定罪，在巴西服刑,2017年意大利法院判9年监禁。2024年3月巴西最高法院以9:2投票通过在巴西执行刑期。2024年3月21日开始在巴西服刑9年。
Adriano (Adriano Leite Ribeiro),男,32,巴西里约热内卢,巴西,职业足球运动员(前国际米兰),2014,毒品交易关联罪(指控被驳回),2014年被指控与里约贫民窟毒贩Paulo Rogério de Souza Paz (Mica)有关联。检方称Adriano 2008年购买摩托车并登记在毒贩母亲名下，该车被用于贩毒活动。,指控被法院驳回,2014年11月6日里约热内卢法官以'证据不足'驳回指控。Adriano否认所有指控。
João Teixeira de Faria (John of God),男,76,巴西戈亚斯州,巴西,灵性治疗师/电视名人,2018,强奸罪(欺骗性质)+性侵犯,2018年12月被指控在其诊所性侵超过300名女性。受害者称在'灵性治疗'过程中遭受性侵。案发前从银行提取3500万雷亚尔(890万美元)试图逃跑。,已定罪服刑,2018年12月15日向警方自首。被判多项罪名成立，总刑期累计超过60年。
Ronaldinho (Ronaldo de Assis Moreira),男,40,巴西阿雷格里港,巴西,职业足球运动员(前巴塞罗那/巴西国家队),2020,伪造护照罪+欺诈罪,2020年3月使用假护照进入巴拉圭参加新书推广活动。与兄弟Roberto同时被捕。,已定罪，认罪协议,2020年3月被捕，4月以各80万美元保释金转为豪华酒店软禁。2020年8月达成认罪协议：Ronaldinho罚款9万美元，兄弟罚款11万美元。8月25日获释离开巴拉圭。如定罪最高可判5年。
Dani Alves (Daniel Alves da Silva),男,39,巴西巴伊亚州,巴西,职业足球运动员(前巴塞罗那/巴西国家队),2022,强奸罪(后撤销),2022年12月被指控在巴塞罗那夜店强奸一名女性。2024年2月被判有罪。,定罪后上诉，2025年3月撤销,2024年2月判4年6个月监禁+赔偿15万欧元。2023年1月至2024年3月羁押14个月。2024年3月支付100万欧元保释金获释。2025年3月28日西班牙加泰罗尼亚高等法院以'证据不足'撤销定罪，宣判无罪。
Deolane Bezerra,女,约35,巴西,巴西,律师/网红/电视名人,2024,洗钱罪+非法赌博,2024年9月在Operation Integration行动中被捕。被指控参与通过在线赌博平台洗钱约30亿雷亚尔的网络(2019-2023年)。与Esportes da Sorte博彩公司有关联。,刑事调查和司法程序进行中,2024年9月被捕。警方查封17辆豪车、38辆车辆、100多处房产、4架飞机、7艘游艇，冻结近30亿雷亚尔资产。其母Solange Bezerra同时被捕。案件审理中。
Gusttavo Lima,男,约35,巴西,巴西,Sertanejo乡村歌手,2024,洗钱罪+非法赌博,2024年9月被发出预防性逮捕令。其公司Balada Eventos被指通过出售两架飞机和一架直升机洗钱。涉嫌持有在线博彩平台Vai de Bet 25%股份。,逮捕令于2024年9月26日撤销，但调查继续,2024年9月23日发出逮捕令，9月26日撤销。其关联公司自2023年从Esportes da Sorte和Vai de Bet收到约4940万雷亚尔。警方调查是否涉及洗钱。仍在调查中。
Alexandre Frota,男,40-60,巴西圣保罗,巴西,演员/色情明星/政治家(众议员),2004-2019,色情表演(非刑事)+政治争议,2004-2008年出演多部色情电影(Brasileirinhas公司)。2018年当选社会自由党(PSL)众议员，支持Bolsonaro。2025年法院扣押其11.1万雷亚尔债务，但银行仅有0.9雷亚尔。,民事债务案件,无刑事定罪。2025年圣保罗法院对其进行财产扣押但仅找到0.9雷亚尔。作为右翼政治人物引发争议。
