﻿姓名,性别,出生年份,年龄(事发时),国家,职业,犯罪年份,犯罪类型,事件描述,法律状态,结果
Campbell·XX,男,1901,31,澳大利亚,演员/舞台剧演员,1932,盗窃飞机/危险飞行/损坏财物,1932年在墨尔本附近夜间未经许可驾驶一架轻型飞机，在黑暗中飞行近两小时后坠毁于Sandridge高尔夫球场，所幸未造成他人死亡,被起诉后定罪,在住院康复后因盗窃飞机和危险驾驶被判处罚款及缓刑，之后继续从事舞台与广播演出
Annette·XX,女,1886,21,澳大利亚,职业游泳运动员/杂耍明星/默片女演员,1907,公共猥亵(服装相关),在美国马萨诸塞州Revere海滩身穿露出腿部的一件式泳衣，被警方以“猥亵”罪名逮捕，引发大量媒体报道，后被视为女性泳装改革象征事件,被捕后无定罪记录,短暂拘押后获释，随后继续其游泳表演与电影事业，并在好莱坞主演多部影片
Rolf·XX,男,1930,38-40,澳大利亚,娱乐明星/画家/音乐家,1968-1970,猥亵儿童,后来在2014年审判中，被法院认定其在1960年代末对多名未成年女孩实施猥亵，包括在演出与社交场合抚摸和性侵受害者,已定罪(追溯),2014年被判12项猥亵罪成立，总刑期5年9个月，其中数项行为发生在1968–1970年
Bon·XX,男,1946,23,澳大利亚,摇滚歌手(The Valentines/后为AC/DC主唱),1969,持有大麻,1969年9月在维州Jan Juc冲浪俱乐部的大规模警察行动中，与乐队成员一起被查出持有大麻，被称为“澳洲第一起乐队集体毒品案”,已定罪,1970年出庭时被罚款并处以良好行为保证，事件加深了他“坏男孩摇滚”形象
Raymond·XX,男,1944,22,澳大利亚,罪犯(在摇滚演出场景下行凶的公众焦点人物),1966,谋杀/强奸,1966年在维州Murchison East附近谋杀一对年轻男女，他们刚从摇滚音乐会返回，这起案件在媒体中与青少年音乐与暴力讨论被频繁关联,已定罪,后来因多起谋杀与强奸案被判终身监禁，成为绰号“Mr Stinky”的臭名昭著连环杀手
Joe·XX,男,1944,28,英国(在澳巡演),摇滚歌手,1972,持有大麻/袭击,1972年10月在阿德莱德与乐队成员共7人因持有大麻被捕，次日在墨尔本Commodore Chateau酒店斗殴被控袭击，澳洲联邦警察给予48小时离境令,已定罪,罚款300澳元并被驱逐出境，此事成为1970年代澳洲摇滚巡演丑闻标志性事件
Ian·XX,男,1957,21,澳大利亚,吉他手(X乐队),1978,毒品持有/过量致死,作为悉尼朋克乐队X的吉他手，长期使用海洛因，1978年在Bondi Lifesaver演出后因海洛因过量在睡梦中死亡,死于毒品过量,成为澳洲摇滚圈第一批海洛因致死案例之一，震惊音乐界
Marc·XX,男,1953,25-30,新西兰/澳大利亚,摇滚歌手(Dragon乐队主唱),1978-1983,海洛因持有/吸食,Dragon乐队成员在1970-1980年代严重依赖海洛因，1980-1983年Stewart皇家委员会调查Mr. Asia毒品集团时，Dragon成员被确认为客户,部分定罪,1978年因毒品相关罪行在奥克兰Mt Eden监狱服刑，后戒毒但健康受损，1998年因吸烟相关喉癌去世
Robert·XX,男,1948,35-43,澳大利亚,演员(Hey Dad..!),1983-1991,儿童性侵/猥亵,在1983-1991年间对4名年龄6-15岁的女孩实施系统性性侵，包括在受害者床上性侵14-15岁女孩，让7岁女孩触摸其生殖器,已定罪(2014年),2014年被判10项罪名成立，判刑10年9个月，最低服刑6年，2022年假释后遣返英国
Maggie·XX,女,1941,43,澳大利亚,演员(Prisoner: Cell Block H),1984,猥亵儿童/严重猥亵,1984年作为电视剧《Prisoner: Cell Block H》明星，邀请14岁精神病院女孩到家中后对其实施性侵，受害者2013年才报案,已定罪(2015年),2015年8月20日被判2项猥亵和1项严重猥亵罪成立，判缓刑，2016年上诉后推翻定罪
Paul·XX,男,1939,41-53,澳大利亚,演员/喜剧演员(Crocodile Dundee),1980s-2012,税务欺诈/逃税指控,被澳洲税务局指控在1980年代《鳄鱼邓迪》成名期间通过离岸账户逃避超过1.5亿澳元税款和罚金,民事和解,2012年与税务局达成和解，具体金额保密但据称巨额
Mark·XX,男,1954,33,澳大利亚,罪犯/后成作家和公众人物,1987,谋杀,1987年在墨尔本St Kilda夜总会外枪杀黑帮成员Siam Ozerkam(Sammy the Turk)，2013年临终前承认,无罪释放(自卫),以自卫为由被判无罪，2013年承认此案及另外3起谋杀
Michael·XX,男,1960,37,澳大利亚,摇滚歌手(INXS主唱),1996-1997,毒品持有,1996年9月26日警方突击检查伦敦家中，在Smarties糖果管中发现毒品，验尸报告显示1997年11月22日死亡时血液中含酒精、可卡因、Prozac和处方药,未正式起诉(死亡),"1998年验尸官裁定""在抑郁和酒精及毒品影响下自杀""，年仅37岁"
Allison·XX,女,1950,约50-57,新西兰/澳大利亚,流行歌手(1960-1970年代偶像),2000s-2007,种植大麻/贩运大麻,"以已婚名Allison Giles因种植和贩运大麻被捕，向已定罪毒贩Giuseppe ""Joe"" Barbaro供应大麻",已定罪,2007年6月1日被判12个月监禁
Shane·XX,男,1969,33,澳大利亚,板球运动员/体育明星,2003,使用禁药/兴奋剂违规,2003年1月22日在悉尼随机药检中被查出使用禁用利尿剂hydrochlorothiazide和amiloride，声称是服用母亲的减肥药,已定罪(体育处罚),被澳洲板球委员会禁赛1年，错过2003年世界杯，2022年去世
Allison·XX,女,1950,约57,新西兰/澳大利亚,流行歌手(1960-1970年代偶像),2007,种植大麻/贩运大麻,"以已婚名Allison Giles因种植和贩运大麻被捕，向已定罪毒贩Giuseppe ""Joe"" Barbaro供应大麻",已定罪,2007年6月1日被判12个月监禁
Todd·XX,男,1985,24,澳大利亚,演员(Home and Away),2010,持有可卡因,作为Channel 7长期肥皂剧《Home and Away》前明星，被控持有可卡因,已定罪,2010年1月认罪，具体刑罚未公开
Dylan·XX,男,约1990,约26-27,澳大利亚,摇滚歌手(Sticky Fingers主唱),2016-2017,性骚扰/袭击/种族歧视/恐同言论,被多名女性指控性骚扰和袭击，包括在演出和社交场合的不当行为，乐队因种族歧视、性别歧视、反同性恋和反跨性别言论引发巨大争议,未正式起诉,Triple J电台和多个音乐节封杀乐队，公众抗议，乐队2023年尝试复出再次引发争议
